slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color
allocations_for_scheduled_caste_sub_plan,Allocations for Scheduled Caste Sub Plan,28219.0,34722.0,30035.0,30604.0,38833.0,40920.0,34334.0,52383.0,52719.0,56619.0,Rs. Crore,#D0A825
allocations_for_department_of_social_justice_and_empowerment,Allocations for Department of Social Justice and Empowerment,4940.0,5515.0,5381.0,5753.0,6566.0,6569.0,6516.0,6908.0,6908.0,7750.0,Rs. Crore,#26393D
