slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),color,unit,notes
swachh_bharat_mission_(r),Swachh Bharat Mission (R),2474,2244,2841,6703.4,9000,10500,10484,13948.27,16948.27,15343.1,#385052,Rs. Crore,Also know as Nirmal Bharat Abhiyan
swachh_bharat_mission_(u),Swachh Bharat Mission (U),0,0,859.5,765.84,2300,2300,2135,2300,2300,2500,#F0AD44,Rs. Crore,
