slug_name,index_name,2013-14 (A),2014-15 (A),2015-16(A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color,Notes
"department_of_agriculture,_cooperation_and_farmers_welfare","Department of Agriculture, Cooperation and Farmers Welfare",24923,25255,28296,35984,39841,36912,41855,41105,46700,Rs. Crore,#385052,"The allocation under Interest Sub-vention for providing short term credit to farmers were reported under the Department of Financial Services within the Ministry of Finance untill 2015-16 and subsequently with the Department of Agriculture, Cooperation and Farmers Welfare. "
"department_of_animal_husbandry,_dairying_and_fisheries","Department of Animal Husbandry, Dairying and Fisheries",1826,1822,1410,1882,1994,1858,2371,2167,3100,Rs. Crore,#128085,
department_of_agricultural_research_and_education,Department of Agricultural Research and Education,4731,4840,5386,6620,6238,5729,6800,6992,7800,Rs. Crore,#F0AD44,
