slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),color,unit,notes
national_rural_drinking_water_programme,National Rural Drinking Water Programme,10490,9691,9242.3,4369.55,5000,6000,5980,6050,7050,7000,#004B68,Rs. Crore,
swachh_bharat_mission_(r),Swachh Bharat Mission (R),2474,2244,2841,6703.4,9000,10500,10484,13948.27,16948.27,15343.1,#004B68,Rs. Crore,Also known as Nirmal Bharat Abhiyan
swachh_bharat_mission_(u),Swachh Bharat Mission (U),...,...,859.5,765.84,2300,2300,2135,2300,2300,2500,#004B68,Rs. Crore,
ministry_of_drinking_water_and_sanitation,Ministry of Drinking Water and Sanitation,12969,11935,12091,11081,14010,16512,16475.7,20010.79,24011.18,22356.6,#004B68,Rs. Crore,
