slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color
national_adaptation_fund,National Adaptation Fund,,,,129,100,98,97,110,108,110,Rs. crore,#26393D
climate_change_action_plan,Climate Change Action Plan,,,,137,30,47,43,40,33,40,Rs. crore,#2aa5bb
