slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color
dept._of_school_education_and_literacy,Dept. of School Education and Literacy,45631,46856,45722,41800,43554,43896,42989,46356,47006,50000,Rs crore,#385052
dept._of_higher_education,Dept. of Higher Education,20423,24465,23152,25439,28840,29703,29026,33330,34862,35010,Rs crore,#F0AD44
