slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color
mahatma_gandhi_national_rural_employment_guarantee_act_(mgnrega),Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),30273,32993,32969,37341,38500,47499,48215,48000,55000,55000,Rs crore,#385052
national_rural_livelihood_mission_(nrlm),National Rural Livelihood Mission (NRLM),2195,2022,1413,2514,3000,3000,3158,4500,4350,5750,Rs crore,#128085
pradhan_mantri_awaas_yojana_/_indira_awaas_yojna,Pradhan Mantri Awaas Yojana / Indira Awaas Yojna,7869,12981,11105,10116.2,15000,16000,16071,23000,23000,21000,Rs crore,#F0AD44
pradhan_mantri_gram_sadak_yojana_(pmgsy),Pradhan Mantri Gram Sadak Yojana (PMGSY),3057,3978,5868,18290,19000,19000,17923,19000,16900,19000,Rs crore,#C6E070
