slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color,Note
total_budget_expenditure,Total Budget Expenditure,1410372.0,1559447.0,1663673.0,1790783.0,1978060.0,2014407.0,1975194.0,2146735.0,2156419.0,2352213.0,Rs crore,#2aa5bb,"The figures for total Union Budget expenditure, for 2017-18 RE and 2018-19 BE, do not include ""Funds collected from GST Compensation Cess, which are transferred to a non-lapsable fund in the Public Account"" of Rs. 61331 Crores & Rs. 90000 Crores respectively. Without adjusting for these figures, total Budget for these two years are: Rs. 2217750 Crores and Rs. 2442213 Crores respectively."
gdp_at_current_market_prices,GDP at Current Market Prices,9946636.0,11236635.0,12433749.0,13675331.0,15183709.0,15183709.0,15183709.0,16784679.0,16784679.0,18722302.0,Rs crore,#2aa5bb,
total_union_budget_expenditure_as_a_proportion_of_gdp,Total Union Budget Expenditure as a Proportion of GDP,14.17938688,13.87823846,13.38030066,13.09498834,13.02751521,13.26689678,13.00863972,12.78984841,12.84754388,12.56369543,Percentage,#2aa5bb,
