slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color,Notes
national_mission_for_enhanced_energy_efficiency,National Mission For Enhanced Energy Efficiency,,,,54.82,100.0,50.62,23.7,50.54,50.5,55.0,Rs. crore,#e4af1b,
national_water_mission,National Water Mission,,,,54.82,100.0,50.62,34.4,50.54,60.0,95.0,Rs. crore,#2aa5bb,
national_mission_green_india,National Mission Green India,,,,209.47,155.01,143.45,173.0,157.8,173.05,210.0,Rs. crore,#6ea63a,
national_mission_on_sustainable_agriculture,National Mission On Sustainable Agriculture,,,,432.71,772.0,729.5,609.8,825.0,714.0,1069.0,Rs. crore,#26393D,
