slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color
allocations_for_tribal_sub_plan,Allocations for Tribal Sub Plan,16724,22039,19921,21217,24005,25602,21811,31920,32508,39135,Rs. Crore,#D0A825
allocations_for_ministry_of_tribal_affairs,Allocations for Ministry of Tribal Affairs,3073,3839,3852,4480,4827,4827,4817,5329,5329,6000,Rs. Crore,#26393D
