slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color,notes
grid_interactive_renewable_power,Grid interactive Renewable Power,874.0,1133,1845,2468.0,3519,3091,2824,4034,2631,3763,Rs. crore,#26393D,
off_grid_renewable_power,Off Grid Renewable Power,131.7,119,160,97.18,983,808,689,918,1121,1037,Rs. crore,#E8B836,Also known as Distributed and Decentralised Renewable Power
"research,_development_&_international_cooperation","Research, Development & International Cooperation",100.23,137,127,106.0,445,273,227,144,81,94,Rs. crore,#5DC8DA,
