slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color,Note
nutrition_as_percentage_of_total_expenditure,Nutrition as percentage of Total Expenditure,13.6,12.9,14.4,14.4,13.3,13.6,12.7,14.1,14.3,14.7,Percentage,#D0A825,"Excluding from the total Union Budget expenditure, for 2017-18 (RE) and 2018-19 (BE), - “Funds collected from GST Compensation Cess, which are transferred to a non-lapsable fund in the Public Account”"
nutrition_expenditure_as_percentage_of_gdp,Nutrition Expenditure as percentage of GDP,1.9,1.8,1.9,1.9,1.7,1.8,1.6,1.8,1.8,1.8,Percentage,#26393D,
