slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color,Notes
department_of_health_&_family_welfare,Department of Health & Family Welfare,26449,28618.4,30626.4,33121.4,37061.5,38343.3,37671,47352.5,51551,52800,Rs crore,#385052, including Department of AIDS control
department_of_health_research,Department of Health Research,720,874.1,910.8,992.8,1144.8,1344.8,1324,1500,1743,1800,Rs crore,#F0AD44,
