slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
nutrition_expenditure_as_percentage_of_total_budget_expenditure,Nutrition Expenditure as percentage of Total Budget Expenditure,13.6,12.9,14.4,14.4,13.3,13.6,12.7,14.1,14.3,14.7,Percentage,#D0A825
nutrition_expenditure_as_percentage_of_gdp,Nutrition Expenditure as percentage of GDP,1.9,1.8,1.9,1.9,1.7,1.8,1.6,1.8,1.8,1.8,Percentage,#26393D
