slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
sca_to_tsp,Special Central Assistance to Tribal Sub Plan,853.0,1050.0,1040.0,1132.0,1250.0,1200.0,1195.0,1350.0,1350.0,1350.0,Rs. Crore,#6ea63a
scheme_under_proviso_to_article_of_the_constitution,Scheme under proviso to Article 275(1) of the Constitution,820.0,1097.0,1133.0,1392.0,1400.0,1260.0,1266.0,1500.0,1500.0,1800.0,Rs. Crore,#84C444
umbrella_scheme_for_development_of_st_vanbandhu_kalyan_yojana,Umbrella Scheme for Development of STs:Vanbandhu Kalyan Yojna,,112.0,100.0,629.0,505.0,472.0,469.0,505.0,394.0,420.0,Rs. Crore,#84C445
umbrella_scheme_for_education_of_st_children,Umbrella Scheme for Education of ST children,981.0,1213.0,1059.0,1221.0,1505.0,1740.0,1740.0,1756.0,1869.0,2038.0,Rs. Crore,#84C446
,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,
,*Umbrella Scheme for Education of ST children includes National fellowship and Scholarship for higher education of ST students and scholarship to the ST students for studies abroad,,,,,,,,,,,,
