slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
allocations_for_department_of_rural_development,Allocations for Department of Rural Development,50187.0,58666.0,67311.0,77369.0,86055.0,96060.0,95069.0,105448.0,109042.0,112404.0,Rs crore,#2aa5bb
allocations_for_department_of_rural_development_as_percent_of_total_budget_expenditure,Allocations for Department of Rural Development as percent of Total Budget Expenditure,3.6,3.8,4.0,4.3,4.4,4.8,4.8,4.9,5.1,4.8,Percentage,#2aa5bb
mahatma_gandhi_national_rural_employment_guarantee_act,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),30273.0,32993.0,32969.0,37341.0,38500.0,47499.0,48215.0,48000.0,55000.0,55000.0,Rs crore,#2aa5bb
national_rural_livelihood_mission,National Rural Livelihood Mission (NRLM),2195.0,2022.0,1413.0,2514.0,3000.0,3000.0,3158.0,4500.0,4350.0,5750.0,Rs crore,#2aa5bb
pradhan_mantri_awaas_yojana_indira_awaas_yojna,Pradhan Mantri Awaas Yojana / Indira Awaas Yojna,7869.0,12981.0,11105.0,10116.2,15000.0,16000.0,16071.0,23000.0,23000.0,21000.0,Rs crore,#2aa5bb
pradhan_mantri_gram_sadak_yojana,Pradhan Mantri Gram Sadak Yojana (PMGSY),3057.0,3978.0,5868.0,18290.0,19000.0,19000.0,17923.0,19000.0,16900.0,19000.0,Rs crore,#2aa5bb
