slug_name,index_name,2012-13 A,2013-14 A,2014-15 A,2015-16 A,2016-17 BE,2016-17 RE,2016-17(AC),2017-18 BE,2017-18 BE(RE),2018-19(BE),unit,color
allocations_for_tribal_sub_plan,Allocations for Tribal Sub Plan,16724.0,22039.0,19921.0,21217.0,24005.0,25602.0,21811.0,31920.0,32508.0,39135.0,Rs. Crore,#D0A825
allocations_for_ministry_oftribal_affairs,Allocations for Ministry of Tribal Affairs,3073.0,3839.0,3852.0,4480.0,4827.0,4827.0,4817.0,5329.0,5329.0,6000.0,Rs. Crore,#26393D
