Grant,Year,Total_Expenditure
47 Trade advisor,Budget 2018-19,148.77
47 Trade advisor,Budget 2017-18,110.54
48 Agriculture,Budget 2018-19,174346.1
48 Agriculture,Budget 2017-18,174602.78
48 Agriculture,Budget 2016-17,146010.6875
49 Irrigation,Budget 2016-17,162518.4165
49 Irrigation,Budget 2018-19,170089.7
49 Irrigation,Budget 2017-18,103524.9173
5 Sales Tax & Other Tax,Budget 2016-17,14793.70661
5 Sales Tax & Other Tax,Budget 2018-19,62148.3
5 Sales Tax & Other Tax,Budget 2017-18,57646.8562
50 Other Special Area Programmes,Budget 2017-18,16300.57
50 Other Special Area Programmes,Budget 2018-19,16138.66
50 Other Special Area Programmes,Budget 2016-17,16539.24
51 Soil & Water Conservation,Budget 2017-18,18111.49
51 Soil & Water Conservation,Budget 2016-17,15785.28
51 Soil & Water Conservation,Budget 2018-19,18105.04
52 Animal Husbandry,Budget 2016-17,39444.53847
52 Animal Husbandry,Budget 2017-18,58180.87009
52 Animal Husbandry,Budget 2018-19,45648.32
53 Dairy Development,Budget 2017-18,3049.86802
53 Dairy Development,Budget 2016-17,3406.1
53 Dairy Development,Budget 2018-19,3557.01
54 Fisheries,Budget 2017-18,15866.23601
54 Fisheries,Budget 2018-19,16082.22
54 Fisheries,Budget 2016-17,7945.51461
55 Forestry & Wildlife,Budget 2018-19,50546.73
55 Forestry & Wildlife,Budget 2016-17,78723.16
55 Forestry & Wildlife,Budget 2017-18,92173.57671
56 Rural Development (Panchayat),Budget 2016-17,201058.8444
56 Rural Development (Panchayat),Budget 2018-19,212344.4
56 Rural Development (Panchayat),Budget 2017-18,315234.6496
57 Rural Development,Budget 2017-18,419152.7324
57 Rural Development,Budget 2018-19,368544.4
57 Rural Development,Budget 2016-17,418822.7068
58 Industries,Budget 2018-19,75458.83
58 Industries,Budget 2017-18,71295.25
58 Industries,Budget 2016-17,37726.95
59 Village & Small Industries Sericulture and Weaving,Budget 2016-17,34097.602
59 Village & Small Industries Sericulture and Weaving,Budget 2017-18,43609.992
59 Village & Small Industries Sericulture and Weaving,Budget 2018-19,38525.87
6 Land Revenue,Budget 2017-18,38302.56
6 Land Revenue,Budget 2016-17,34500.49
6 Land Revenue,Budget 2018-19,42350.83
60 Cottage Industries,Budget 2016-17,6542.41
60 Cottage Industries,Budget 2017-18,8664.21
60 Cottage Industries,Budget 2018-19,8502.107
61 Mines & Minerals,Budget 2016-17,1880.56
61 Mines & Minerals,Budget 2018-19,2211
61 Mines & Minerals,Budget 2017-18,1911.28
62 Power (Electricity),Budget 2016-17,143500.7764
62 Power (Electricity),Budget 2017-18,391746.2
62 Power (Electricity),Budget 2018-19,270221.7
63 Water Resources,Budget 2018-19,82492.07
63 Water Resources,Budget 2016-17,232086.24
63 Water Resources,Budget 2017-18,273926.0716
64 Roads & Bridges,Budget 2016-17,440088.29
64 Roads & Bridges,Budget 2018-19,464886.7
64 Roads & Bridges,Budget 2017-18,406888.2486
65 Tourism,Budget 2017-18,11909.33
65 Tourism,Budget 2016-17,6417.3
65 Tourism,Budget 2018-19,8100.26
66 Compensation & Assignment To Local Bodies &Panchayati Raj Institutions,Budget 2017-18,48186.75
66 Compensation & Assignment To Local Bodies &Panchayati Raj Institutions,Budget 2018-19,24190.9
66 Compensation & Assignment To Local Bodies &Panchayati Raj Institutions,Budget 2016-17,69444
67 Horticulture,Budget 2018-19,5768.04
67 Horticulture,Budget 2017-18,5274.72
67 Horticulture,Budget 2016-17,5159.902
68 Loans to Government Servant etc,Budget 2018-19,7598.5
68 Loans to Government Servant etc,Budget 2016-17,10551.5
68 Loans to Government Servant etc,Budget 2017-18,21051.52
69 Scientific Services & Research,Budget 2016-17,3585.84958
69 Scientific Services & Research,Budget 2018-19,5182.312
69 Scientific Services & Research,Budget 2017-18,5592.45853
7 Stamps and Registration,Budget 2018-19,4870.96
7 Stamps and Registration,Budget 2017-18,3665.91
7 Stamps and Registration,Budget 2016-17,4480.73
70 Hill Areas,Budget 2018-19,782.3806
70 Hill Areas,Budget 2017-18,2021.356
70 Hill Areas,Budget 2016-17,4479.94
"71 Education (Elementary,Scy.Etc.)",Budget 2016-17,1201166.59
"71 Education (Elementary,Scy.Etc.)",Budget 2017-18,1149684.474
"71 Education (Elementary,Scy.Etc.)",Budget 2018-19,1361921
72 Social Security & Welfare,Budget 2016-17,7002
72 Social Security & Welfare,Budget 2018-19,1002
72 Social Security & Welfare,Budget 2017-18,7502
73 Urban Development (GDD),Budget 2018-19,151519.5
73 Urban Development (GDD),Budget 2016-17,130156.73
73 Urban Development (GDD),Budget 2017-18,154024.71
74 Sports & Youth Services,Budget 2018-19,16382.91
74 Sports & Youth Services,Budget 2016-17,13984.1456
74 Sports & Youth Services,Budget 2017-18,16422.47608
75 Information & Technology,Budget 2018-19,6006.856
75 Information & Technology,Budget 2016-17,3949.1
75 Information & Technology,Budget 2017-18,8837.87
76 Karbi-Anglong Autonomous Council,Budget 2017-18,120848.89
76 Karbi-Anglong Autonomous Council,Budget 2016-17,94461.011
76 Karbi-Anglong Autonomous Council,Budget 2018-19,139741.8
77 N.C. Hills Autonomous Council,Budget 2018-19,67672.48
77 N.C. Hills Autonomous Council,Budget 2016-17,45458.262
77 N.C. Hills Autonomous Council,Budget 2017-18,54467.8906
78 Bodoland Territorial Council,Budget 2018-19,278626.2
78 Bodoland Territorial Council,Budget 2017-18,223591.45
78 Bodoland Territorial Council,Budget 2016-17,297351.2867
8 Excise & Prohibition,Budget 2018-19,7434.977
8 Excise & Prohibition,Budget 2016-17,6929.5
8 Excise & Prohibition,Budget 2017-18,6885.52842
9 Transport Services,Budget 2017-18,46384.58
9 Transport Services,Budget 2018-19,51860.85
9 Transport Services,Budget 2016-17,34304.712
C1 Public Service Commission(charged),Budget 2018-19,1495.23
C1 Public Service Commission(charged),Budget 2016-17,1369.56
C1 Public Service Commission(charged),Budget 2017-18,1419.32075
C2 Head of State,Budget 2016-17,739.03
C2 Head of State,Budget 2018-19,837.68
C2 Head of State,Budget 2017-18,775.9618
PD Public Debt And Servicing Of Debt,Budget 2018-19,442240
PD Public Debt And Servicing Of Debt,Budget 2016-17,821368.31
PD Public Debt And Servicing Of Debt,Budget 2017-18,866013.57
