DDO Code,DDO Name,Budget Code,Allotment Serial No,Allotment Date,Allotment ID,Alloted Amount,Expenditure,Surrender/Withdrwal,Deduct Amount,Balance
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,10,28-May-16,542,3750,3750,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,11,28-May-16,543,32000,32000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,12,28-May-16,544,12250,12250,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-1159-06001-000-0-1-0,13,28-May-16,545,2500,2500,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-001-0309-78012-000-0-1-0,14,28-May-16,546,4000,4000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-2401-00-800-2610-20002-000-1-1-2,1,21-Jul-16,987,128000,128000,0,0,0
BLGAGR001,"District Agriculture Officer, Patnagarh",23-3451-00-090-0034-01003-560-0-1-0,1,01-Sep-16,1114,105000,105000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-113-0379-01003-136-0-1-0,1,12-Apr-16,849,187500,187500,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-113-0379-01003-156-0-1-0,2,12-Apr-16,850,224000,224000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-113-0379-01003-403-0-1-0,3,12-Apr-16,851,20600,20600,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-113-0379-01003-523-0-1-0,4,12-Apr-16,852,500,500,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-136-0-1-0,1,18-Apr-16,926,51200,51200,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-156-0-1-0,2,18-Apr-16,927,69120,69120,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,3,18-Apr-16,928,3072,3072,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,4,18-Apr-16,929,358,358,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,5,18-Apr-16,930,680,680,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,07-Jun-16,2964,253440,243070,0,0,10370
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,2,07-Jun-16,2965,342200,315421,0,0,26779
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,3,07-Jun-16,2966,14100,14100,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,4,07-Jun-16,2967,1800,1800,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,5,07-Jun-16,2968,3400,3400,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,11-Apr-16,767,24000,0,0,0,24000
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,2,11-Apr-16,768,32400,0,0,0,32400
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,3,11-Apr-16,769,1300,0,0,0,1300
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,4,11-Apr-16,770,338,0,0,0,338
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,5,11-Apr-16,771,168,0,0,0,168
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,6,11-Apr-16,772,440,0,0,0,440
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,28-May-16,2289,123840,0,0,0,123840
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,2,28-May-16,2290,167200,0,0,0,167200
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,3,28-May-16,2291,10400,0,0,0,10400
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,4,28-May-16,2292,1500,0,0,0,1500
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,5,28-May-16,2293,840,0,0,0,840
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,6,28-May-16,2294,2200,0,0,0,2200
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,01-Jun-16,2574,1800000,911772,0,0,888228
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,2,01-Jun-16,2575,2250000,1208981,0,0,1041019
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,3,01-Jun-16,2576,5000,5000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,4,01-Jun-16,2577,2000,520,0,0,1480
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,5,01-Jun-16,2578,5000,5000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,6,01-Jun-16,2579,5000,5000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,02-Jun-16,2635,100000,100000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,7,01-Jun-16,2580,2000,2000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,8,01-Jun-16,2581,5000,4640,0,0,360
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,9,01-Jun-16,2582,5000,5000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,05-Oct-16,4207,30000,23566,0,0,6434
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,2,05-Oct-16,4208,5000,5000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-113-0379-06001-000-0-1-0,3,05-Oct-16,4209,20000,20000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-113-0379-20002-000-0-1-0,4,05-Oct-16,4210,15000,15000,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-0310-01004-000-0-1-0,1,10-Mar-17,6231,5,0,5,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,16-Feb-17,5741,8957,8957,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,3,16-Feb-17,5742,487,487,0,0,0
BLGAGR002,Assistant Agriculture Engineer Bolangir,23-2401-00-001-1159-01003-403-0-1-0,2,16-Feb-17,5743,2856,2811,0,0,45
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-136-0-1-0,1,16-Apr-16,889,1637600,1637600,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-156-0-1-0,2,16-Apr-16,890,2210760,2210760,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-403-0-1-0,3,16-Apr-16,891,98256,98256,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-516-0-1-0,4,16-Apr-16,892,11463,11463,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,5,16-Apr-16,893,5000,5000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,6,16-Apr-16,894,20188,20188,0,0,0
