slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
gbs,Gross Budgetary Support(GBS),1089.0,383.0,502.0,92.0,100.0,100.0,100.0,50.0,50.0,0.0,Rs. crore,#D0A825
iebr,Internal & Extra Budgetray Resources(IEBR),1894.0,2966.0,3291.0,6113.0,9193.0,12301.0,8641.0,8244.0,9466.0,10317.0,Rs. crore,#26393D
