"Voted_Charged","ACTUALS 2016-17","BUDGET 2017-18","REVISED 2017-18","BUDGET 2018-19"
"Charged",5236.4,5963.30882,6246.30882,5991.87
"Voted",16775.55,55598.3101699999,57161.4181399999,56823.5403
